Paper ID	Title	Primary Area	Length (min)	Session ID	Session Name
194	Ehecatl: A Frugal Digital Wind Instrument Inspired by Aztec Cosmogony	Accessible interfaces for musical expression	13	4A	Technologies for Collaborative Creativity
132	"""Qianji: A Resilient Framework for Orchestrating """"A Thousand Machines"""" in Distributed Performance]{Qianji: A Resilient Framework for Orchestrating """"A Thousand Machines"""" in Distributed Performance"""	Technologies or systems for collaborative music-making	13	4A	Technologies for Collaborative Creativity
172	The Readymade Synth: Prepared Synthesis with Everyday Objects	Novel controllers, interfaces or instruments for musical expression	17	4B	Robotic Systems and Autonomous Musicians
62	A DIY MIDI Lamellophone Controller: Bridging Traditional Playability and MIDI Technology for Pedagogy, Innovation, and Performative Practice	Novel controllers, interfaces or instruments for musical expression	17	4B	Robotic Systems and Autonomous Musicians
437	Choreographing the ProjectName: A Computational Framework for High-Performance Robotic Art	Musical applications of robotics	13	4B	Robotic Systems and Autonomous Musicians
60	Paper Tape — A Cassette Tape without Prior Acoustic Information	Novel controllers, interfaces or instruments for musical expression	13	4B	Robotic Systems and Autonomous Musicians
215	Turntangilism: Enhancing traditional Turntable Setups with Tangible Controls for Digital Sequencing and Live Sampling	Novel controllers, interfaces or instruments for musical expression	13	4B	Robotic Systems and Autonomous Musicians
226	Network Bending as Circuit-Bending Inspired Live Neural Synthesis Hacking	Novel controllers, interfaces or instruments for musical expression	13	4B	Robotic Systems and Autonomous Musicians
617	Oscilla: The Score as Performable Interface	Software frameworks, interface protocols, and data formats, for supporting musical interaction	17	5A	Virtual Realities in Musical Expression
459	Between Intimacy and Immensity: Composing Multilayered Immersive Live Music for Bone Conduction Headphones and a Speaker-Dome Array	Extended reality environments: augmented, virtual, mixed reality	17	5A	Virtual Realities in Musical Expression
104	KinoGroove: Composing with Muscle and Motion in Extended Reality	Extended reality environments: augmented, virtual, mixed reality	17	5A	Virtual Realities in Musical Expression
126	In The Round: Exploring the Cultural Model of Disability in Accessible Music Improvisation	Accessible interfaces for musical expression	13	5A	Virtual Realities in Musical Expression
354	Sounds from Mismatch: Sensorimotor Prediction Error as Sonic Material in Augmented Reality	Extended reality environments: augmented, virtual, mixed reality	13	5A	Virtual Realities in Musical Expression
110	A Digital Twin for Theremin’s Terpsitone from 1970s	Extended reality environments: augmented, virtual, mixed reality	13	5A	Virtual Realities in Musical Expression
154	Ephemerides: A Microtonal Feedback Instrument Based On Transgender Voice Training Technique	Novel controllers, interfaces or instruments for musical expression	17	5B	Innovative Pedagogies in Music Technology
53	Uzulangs	Software frameworks, interface protocols, and data formats, for supporting musical interaction	17	5B	Innovative Pedagogies in Music Technology
255	The Obstruction Manual: Insights on Sharing Instrument Design Knowledge for Active Learning	Pedagogical perspectives or reports on student projects in the framework of NIME-related courses	17	5B	Innovative Pedagogies in Music Technology
609	SOFTWARE_NAME : Design and Development of a Musical Juggling Toolkit	Software frameworks, interface protocols, and data formats, for supporting musical interaction	17	5B	Innovative Pedagogies in Music Technology
27	Anywhere and here: zcreative a toolkit for distributed control	Software frameworks, interface protocols, and data formats, for supporting musical interaction	17	5B	Innovative Pedagogies in Music Technology
631	Crip Design for Collaborative Musical Interfaces: Iterative Development of Bot Party, a Touch-Based Sonic Game	Accessible interfaces for musical expression	17	7A	Accessibility and Inclusive Music Making
266	SynthAccess: First Steps Towards Improving Synthesizer Accessibility for Blind Musicians	Accessible interfaces for musical expression	17	7A	Accessibility and Inclusive Music Making
206	Coypu and Phausto: accessible live sound coding with Pharo Smalltalk	Accessible interfaces for musical expression	17	7A	Accessibility and Inclusive Music Making
434	Repertoire-Centred Design: Mechanical Augmentations in Digital Lutherie for Acoustic Musical Instruments	Augmented, embedded and hyper instruments	17	7B	Evolving Interfaces: Augmentation and Hybridity
514	Playing Rough: Malleable Tentacle Instruments for Participatory Performance	Augmented, embedded and hyper instruments	13	7B	Evolving Interfaces: Augmentation and Hybridity
213	Hybrid Drum: Iterative Development Toward Standalone Operation and Physical Feedback	Augmented, embedded and hyper instruments	13	7B	Evolving Interfaces: Augmentation and Hybridity
280	Z-Wah: Appropriating the Wah via Digital Impedance Synthesis	Augmented, embedded and hyper instruments	13	7B	Evolving Interfaces: Augmentation and Hybridity
143	Weaving Before Electronics: A Spiral Design Process for Sound‑Interface Making	Practice-based research approaches/methodologies/criticism	17	8A	Community-Driven Soundscapes and Installations
294	[ANON] Residency Report: Creative Exploration by Musicians and Dancers from [ANON] and [ANON] traditions	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	17	8A	Community-Driven Soundscapes and Installations
42	Host Your Ghosts: Recontextualizing the Ouija board as a Communal NIME for Music Performance	Machine learning in musical performance	13	8A	Community-Driven Soundscapes and Installations
507	Enhancing Expressive Musical Conversation in the jam_bot	Machine learning in musical performance	13	8A	Community-Driven Soundscapes and Installations
4	Body, Bend: Creating a wearable instrument using 3D printing innovation	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	13	8A	Community-Driven Soundscapes and Installations
148	Modernizing the Machine Lab with Immersive Design and Artificial Intelligence	Musical applications of robotics	10	8A	Community-Driven Soundscapes and Installations
428	The Extended Encounter: Against Methodology	Evaluation and user studies of new interfaces for musical expression	17	8B	Critical Approaches to NIME Evaluation
635	The Aerophone Kit: A Toolkit for Pneumatic Musical Instrument Design	Evaluation and user studies of new interfaces for musical expression	17	8B	Critical Approaches to NIME Evaluation
182	Intergration of Freesound content in creative applications and sound interfaces: a survey of use cases	Evaluation and user studies of new interfaces for musical expression	17	8B	Critical Approaches to NIME Evaluation
59	State of the art on audience research within NIME: a systematic literature review	Discussions about the artistic, cultural, and social impact of NIME technology	17	8B	Critical Approaches to NIME Evaluation
173	The Larsen Station: A Customizable Module Setup for Integrating Electroacoustic Feedback in Chamber Music	Evaluation and user studies of new interfaces for musical expression	10	8B	Critical Approaches to NIME Evaluation
256	Feedback Ocarina - a DIY entry level instrument for feedback musicianship	Novel controllers, interfaces or instruments for musical expression	10	8B	Critical Approaches to NIME Evaluation
223	Tian Jinqin’s String-Controlled Instruments: Formalizing and Reimplementing a Ribbon-Based Interaction Design Pattern	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	17	9A	Cross-Cultural Instruments and Digital Futures
529	Re‑Embodying, Situating, and Resisting: Creative Strategies for a Latin American Cyborgism	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	17	9A	Cross-Cultural Instruments and Digital Futures
33	The Skateboard Embaire: Reanimating tradition through musical instrument design	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	13	9A	Cross-Cultural Instruments and Digital Futures
139	[PROJECTNAME]: Music Emerging from Colliding Embedded AI Instruments with Radio Orchestras and their Archives	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	13	9A	Cross-Cultural Instruments and Digital Futures
422	FO2 - Building A Wearable Laser-Feedback Instrument: Performing body-space-technology entanglements	Novel controllers, interfaces or instruments for musical expression	13	9A	Cross-Cultural Instruments and Digital Futures
161	Calliphony: A Calligraphy-Driven Interface for Real-Time Generative Music Performance	Machine learning in musical performance	13	9A	Cross-Cultural Instruments and Digital Futures
220	Grounded Yet Shifting: Shaping Hybrid Performance Ecologies with Dynamic Tonality	Practice-based research approaches/methodologies/criticism	17	9B	Dynamic Systems and Generative Soundscapes
632	RenCon 2025: Revival of Expressive Performance Rendering Competition	Performance rendering and generative algorithms	17	9B	Dynamic Systems and Generative Soundscapes
160	See Link for More Details: Towards a Pragmatic Open Methodology at NIME	Practice-based research approaches/methodologies/criticism	13	9B	Dynamic Systems and Generative Soundscapes
357	Probing Latent Space Interactions with Real-time Generative Audio Models Through a Physical Controller	Machine learning in musical performance	13	9B	Dynamic Systems and Generative Soundscapes
381	Magnetic Memory Rushnyk	Explorations of relationships between motion, gesture and music	13	9B	Dynamic Systems and Generative Soundscapes
94	Exploring Real-Time Interfaces With Sensory Percussion	Software frameworks, interface protocols, and data formats, for supporting musical interaction	13	9B	Dynamic Systems and Generative Soundscapes
